ID,Treatment,Block,Plot,Quadrat,X,Y,Shrub,Compass,Distance,Year,Age,Size,Fert
C.III.9.4.64.19,C,III,9,4,64,19,NA,NA,NA,1997,NA,NA,NA
C.III.9.4.74.19,C,III,9,4,74,19,NA,NA,NA,1997,1,4,0
C.III.9.4.79.54,C,III,9,4,79,54,NA,NA,NA,1997,999,2,2
C.III.9.4.90.10,C,III,9,4,90,10,NA,NA,NA,1997,1,5,0
C.III.9.5.0.70,C,III,9,5,0,70,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.3.79,C,III,9,5,3,79,NA,NA,NA,1997,1,2,0
C.III.9.5.10.78,C,III,9,5,10,78,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.14.80,C,III,9,5,14,80,NA,NA,NA,1997,1,4,0
C.III.9.5.21.74,C,III,9,5,21,74,NA,NA,NA,1997,999,13,0
C.III.9.5.22.70,C,III,9,5,22,70,NA,NA,NA,1997,1,1,0
C.III.9.5.25.59,C,III,9,5,25,59,NA,NA,NA,1997,999,29,12
C.III.9.5.28.66,C,III,9,5,28,66,NA,NA,NA,1997,1,5,0
C.III.9.5.36.50,C,III,9,5,36,50,NA,NA,NA,1997,1,4,0
C.III.9.5.45.60,C,III,9,5,45,60,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.47.40,C,III,9,5,47,40,NA,NA,NA,1997,999,24,0
C.III.9.5.48.32,C,III,9,5,48,32,NA,NA,NA,1997,999,13,8
C.III.9.5.49.50,C,III,9,5,49,50,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.50.80,C,III,9,5,50,80,NA,NA,NA,1997,999,43,4
C.III.9.5.54.46,C,III,9,5,54,46,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.55.20,C,III,9,5,55,20,NA,NA,NA,1997,999,9,6
C.III.9.5.55.22,C,III,9,5,55,22,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.55.26,C,III,9,5,55,26,NA,NA,NA,1997,1,5,0
C.III.9.5.56.80,C,III,9,5,56,80,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.57.92,C,III,9,5,57,92,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.58.84,C,III,9,5,58,84,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.60.44,C,III,9,5,60,44,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.61.14,C,III,9,5,61,14,NA,NA,NA,1997,1,4,0
